New,title,"my lable",owned,Trade,Manufacturer,Part,"Label ID","Alt ID 1","Alt ID 2","Alt ID 3",Type,Family,Sub-Family,sub-family2,sub-family3,Core,CPUID,"Instruction set","IS Ext","Instruction link","Computer architecture",ISA,Microarchitecture,"Designer of Core",Clone,Cores,Pipeline,Multiprocessing,Architecture,"Bus Width","Address Width",Speed,"Bus speed","Bus type","Clock multiplier",FPU,GPU,DSP,"L1 cache","L1 shared","L1 data","L1 instruction","L2 cache","L3 cache","ROM Int","ROM type","RAM Int","RAM Max","RAM type",Package,"Package Size",Socket,Transistors,"Process Size",Technology,"Die Size",Vcc,"Vcc range",Vcore,"Vcc (I/O)","V(I/O) secondary","V(I/O) tertiary","Power min","Power typ","Power max",TDP,"Low power modes",Grade,"Date Introduced",Year,"Initial price",Applications,Features,Tags,Rarity,Description,"Photo 1","Photo 2","Photo 3","Photo 4","Photo 5","Photo die","Photo die license",Datasheet,"Reference 1","Reference 2","Reference 3","Reference 4","Reference 5",blank
,,ON-MCU-BOARD,1,X,2WIRE,eC575563-1,,,,,SoC,TriMedia,,,,,,,,,VLIW,TriMedia,,,,,,,32,,,180-200MHz?,,,,,none,,,,,,,,,,,,,PBGA,,NA,10M+,0.13u?,CMOS,,,,,,,,,,,,,,,,,Networking,,,0,"In A 2-Wire DSL Modem",ic-photo-2WIRE--eC575563-1--(Medusa-TriMedia-MCU).JPG,,,,,,,,,,,,,
,,,1,x,ADMtek,ADM5106,X01-03620-01,,,,SoC,ARM,ARM7,,,ARM7TDMI,,,,,,ARM,,,,1,,,32,32,20,25MHz,,,,none,none,,none,none,none,none,none,none,none,none,none,16M,SDRAM,PQFP-208,,NA,,0.25u,CMOS,,2.5,,,3.3V,,,,,,,,,,,,Networking,"Ethernet, LED, Flash, SDRAM, UART, USB, GPIO, LAN/WAN",,0,,,,,,,,,datasheet-ADMtek--ADM5106_datasheet_v1.37.pdf,,,,,,
,,ON-MCU-BOARD,1,X,Alcatel,MTC-20146TQ-C,,,,,SoC,ARM,,,,,,,,,RISC,ARM,,ARM,,,,,32,,16,,,,,,none,,,,,,,,512B,,16k,,SDRAM,TQFP-176,,NA,,0.18u,CMOS,,3.3V,,,3.3V,,,,,0.4W,,,,,,,Networking,"DMT modem, AFE interface, UTOPIA interface, UART",,0,"DSL Modem MCU",ic-photo-Alcatel--MTC-20146TQ-C--(ARM-Dynamite-MCU).JPG,,,,,,,datasheet-Acatel--MTC-20146.pdf,,,,,,
NEW,,,1,x,AMCC,PPC405GP-3DE200C,,,,,SoC,PowerPC,405,GP,,"PowerPC 405",,,,,,PowerPC,,,,1,,,32,,32,200MHz,133MHz,,,,none,,,,,,,,,,,,,E-PBGA-256,"27mm x 27mm",NA,,0.25u,"CMOS SA-12E",,,,,,,,,,,1.5w,,,,,,"Embedded systems",,,,,,,,,,,,datasheet-AMCC-PPC405GP.pdf,,,,,,
,,AP,1,X,AMD,N80186-16,,,,,CPU,186,,,,,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,16,16,16,16MHz,16MHz,,,"ext (8087)",none,,none,none,none,none,none,none,NA,NA,NA,1M,,PLCC-48,,PLCC,56k,2.0u,HMOS,,5V,,,5V,,,,,,,,,1982,1982,,,,,,.,ic-photo-AMD--N80C186-16-(186-CPU).png,,,,,,,datasheet-AMD-80186.pdf,,,,,,
,,K8,1,X,AMD,N80C186,,,,,CPU,186,,,,,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,16,16,16,10MHz,10MHz,,,"ext (8087)",none,,none,none,none,none,none,none,NA,NA,NA,1M,,PLCC-48,,PLCC,56k,1.5u,CHMOS,,5V,,,5V,,,,,0.28W,,,,1987,1987,,,,,,.,ic-photo-AMD--N80C186-(186-CPU).png,,,,,,,datasheet-AMD-80C186-80C188.pdf,,,,,,
,,EU,1,X,AMD,R80186-6/B4,,,,,CPU,186,,,,,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,16,16,20,6MHz,6MHz,,,"ext (8087)",none,,none,none,none,none,none,none,NA,NA,NA,1M,,CLCC-68,"24mm x 24mm",,56k,2.0u,,,5V,,,5V,,,,,,,,,1982,1982,,,,,,.,ic-photo-AMD--R80186-6_B4-(186-CPU).png,,,,,,,datasheet-AMD-80186.pdf,,,,,,
,,,1,X,AMD,N80188,,,,,CPU,188,,,,,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,16,8,20,8MHz,8MHz,,,"ext (8087)",none,,none,none,none,none,none,none,NA,NA,NA,1M,,PLCC-48,,PLCC,56k,2.0u,HMOS,,5V,,,5V,,,,,2.75W,,,,1982,1982,,,,,,,ic-photo-AMD--N80188-(188-CPU).jpg,,,,,,,datasheet-AMD-80188.pdf,,,,,,
,,,1?,X,AMD,C80286-1/2C,,,,,CPU,286,,,,,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,16,16,24,,,,,"ext (80287)",none,,none,none,none,none,none,none,NA,NA,NA,16M,,,,,,,,,5V,,,5V,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,
,,K6,1,X,AMD,N80L286-16/S,,,,,CPU,286,,,,,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,16,16,24,16MHz,16MHz,,,"ext (80287)",none,,none,none,none,none,none,none,NA,NA,NA,16M,,PLCC-48,,PLCC,134k,1.5u,NMOS,,5V,,,5V,,,,,2.89W,,,,1984,1984,,,,,,"Low power CPU",ic-photo-AMD--N80L286-16_S-(286-CPU).png,,,,,,,datasheet-AMD--80L286.pdf,,,,,,
