Manuf,Fam,Fam2,Fam3,Logo,Logo2,Logo3,Logo4,Logo5,Logo6,Logo7,Logo8,,,,
AMD,486,,,label_Am486.gif,,,,,,,,,,,
AMD,5x86,,,label_Am5x86.gif,,,,,,,,,,,
AMD,"A10 Series",Pro,,amd-pro+a10-badge-logo-300px.webp,,,,,,,,,,,
AMD,"A10 Series",,,amd-A_A10_6thGEN.webp,,,,,,,,,,,
AMD,"A4 Series",,,amd-a4-series.jpeg,,,,,,,,,,,
AMD,"A4 Series Elite",,,family_logo-AMD-A4-Elite.png,,,,,,,,,,,
AMD,"A6 Series",,,amd-a6-series.jpg,family_logo-AMD-A6.jpg,,,,,,,,,,
AMD,"A6 Series Elite",,,family_logo-AMD-A6-Elite.png,,,,,,,,,,,
AMD,"A8 Series",,,family_logo-AMD-A8.jpg,,,,,,,,,,,
AMD,"A8 Series Elite Quad-Core",,,family_logo-AMD-A8-Elite_Quad-Core.png,,,,,,,,,,,
AMD,"A9 Series",,,amd-a9-9420-logo.jpg,,,,,,,,,,,
AMD,Alchemy,,,amd-alchemy.svg,,,,,,,,,,,
AMD,AM29000,,,amd-am29000-logo.webp,,,,,,,,,,,
AMD,AMD64,,,"Logo AMD64.svg",,,,,,,,family_logo-AMD-AMD64_Logo.svg,,,
AMD,"AMD 64 Live!",,,family_logo-AMD-64_Live!.png,,,,,,,,,,,
AMD,A-Series,,,AMD_A-series_logo.jpg,,,,,,,,family_logo-AMD-A-series_logo.jpg,,,
AMD,Athlon,MP,,family_logo-AMD-Athlon-MP.jpg,"Athlon mp logo.svg",,,,,,,,,,
AMD,Athlon,Thunderbird,,family_logo-AMD-Athlon-thunderbird.gif,,,,,,,,,,,
AMD,Athlon,XP,,AMD-Athlon-XP-Processor-logo.svg,,,,,,,,,,,
AMD,Athlon,,,AMD-Athlon-Processor-Logo.svg,,,,,,,,,,,
AMD,"Athlon 4",,,AMD_Athlon_4_logo.svg.webp,,,,,,,,,,,
AMD,"Athlon 64",FX,,family_logo-AMD-Athlon_64-FX.jpg,,,,,,,,,,,
AMD,"Athlon 64",Mobile,,family_logo-AMD-Athlon_64-Mobile.jpg,,,,,,,,,,,
AMD,"Athlon 64",Neo,,family_logo-AMD-Athlon_64-Neo.png,,,,,,,,,,,
AMD,"Athlon 64",X2,,family_logo-AMD-Athlon_64-X2-vector.svg,,,,,,,,,,,
AMD,"Athlon 64",,,family_logo-AMD-Athlon_64.png,"AMD Athlon64 Badge.svg",,,,,,,,,,
AMD,"Athlon II",X2,,family_logo-AMD-Athlon_II-X2.jpg,,,,,,,,,,,
AMD,"Athlon II",X4,,family_logo-AMD-Athlon_II_X4.gif,,,,,,,,,,,
AMD,"Athlon II",,,Athlon_II_logo.png,,,,,,,,,,,
AMD,"Athlon XP-M",,,AMD_Athlon_XP-M_logo.svg,,,,,,,,,,,
AMD,Duron,,,"AMD Duron Processor Logo.svg",,,,,,,,,,,
AMD,Epyc,,,"AMD Epyc wordmark.svg",,,,,,,,,,,
AMD,FX,,,AMD_FX_Logo.png,family_logo-AMD-amdfx.gif,,,,,,,,,,
AMD,K5,,,label_K5.gif,,,,,,,,,,,
AMD,K6,,,label_K6.gif,Amd-k6.svg,family_logo-AMD-K6.png,,,,,,,,,
AMD,K6-2,,,family_logo-AMD-K6-2-vector.svg,"AMD K6-II Processor Logo.svg",,,,,,,,,,
AMD,K6-2+,,,family_logo-AMD-K6-2+.jpg,,,,,,,,,,,
AMD,K6-III,,,Amd-k6-3.svg,,,,,,,,,,,
AMD,K6-III+,,,family_logo-AMD-K6-III+.gif,,,,,,,,,,,
AMD,Opteron,,,Opteron_logo.png,,,,,,,,,,,
AMD,"Opteron 64",,,family_logo-AMD-Opteron-64.png,family_logo-AMD-Opteron_64.png,family_logo-AMD-Opteron_64.svg,family_logo-AMD-Opteron_64-2.png,"AMD Opteron Badge.svg",,,,,,,
AMD,"Phenom 64",FX,,family_logo-AMD-Phenom_64-FX.gif,,,,,,,,,,,
AMD,"Phenom 64",X3,,family_logo-AMD-Phenom_64-X3.png,,,,,,,,,,,
AMD,"Phenom 64",X4,,family_logo-AMD-Phenom_64-X4.png,,,,,,,,,,,
AMD,"Phenom 64",,,family_logo-AMD-Phenom_64.png,,,,,,,,,,,
AMD,"Phenom II",X2,,family_logo-AMD-Phenom_II-X2.jpg,,,,,,,,,,,
AMD,"Phenom II",X3,,family_logo-AMD-Phenom_II-X3.gif,,,,,,,,,,,
AMD,"Phenom II",X4,,family_logo-AMD-Phenom_II-X4.jpg,,,,,,,,,,,
AMD,"Phenom II",,,family_logo-AMD-Phenon_II.png,,,,,,,,,Amd-phenon-ii.logo.png,,
AMD,RDNA,3,,"AMD RDNA-3 Logo.png",,,,,,,,,,,
AMD,Ryzen,Threadripper,,ryzen-threadripper.jpeg,,,,,,,,,,,
AMD,Ryzen,,,"AMD Ryzen logo.svg",,,,,,,,,,,
AMD,Ryzen,,,AMD_ryzen_stylized.svg,,,,,,,,,,,
AMD,"Ryzen 5",5600x,,amd-ryzen-5-5600x.png,,,,,,,,,,,
AMD,"Ryzen 7",1800x,,ryzen-7-series-1800x.png,,,,,,,,,,,
AMD,"Ryzen R7",,,ryzen-r7.png,,,,,,,,,,,
AMD,Sempron,Mobile,,family_logo-AMD-Sempron_Mobile.png,,,,,,,,,,,
AMD,Sempron,,,family_logo-AMD-Sempron.png,"AMD Sempron Processor Logo.svg",family_logo-AMD-Sempron-3.png,family_logo-AMD-Sempron-2.jpg,,,,,,family_logo-AMD-Sempron-vector.svg,,
AMD,"Turion 64",Mobile,,AMD_Turion_64_Mobile_Technology_(2005).svg,,,,,,,,,,,
AMD,"Turion 64",Ultra,,family_logo-AMD-Turion_64-Ultra.png,,,,,,,,,,,
AMD,"Turion 64",X2,,family_logo-AMD-Turion_64-X2.gif,,,,,,,,,,,
AMD,"Turion 64",,,family_logo-AMD-Turion_64.png,,,,,,,,,,,
AMD,Zen,,,AMD_zen_logo.png,,,,,,,,,,,
